Word1,WordFrequency1,Topic1,TopicFrequency1,Negative1,Positive1,Word2,WordFrequency2,Topic2,TopicFrequency2,Negative2,Positive2,Word3,WordFrequency3,Topic3,TopicFrequency3,Negative3,Positive3,Word4,WordFrequency4,Topic4,TopicFrequency4,Negative4,Positive4,Word5,WordFrequency5,Topic5,TopicFrequency5,Negative5,Positive5,Word6,WordFrequency6,Topic6,TopicFrequency6,Negative6,Positive6
Coronavirus,366,Death,323,159,164,Coronavirus,1335,COVID-19,1382,575,807,COVID,83,George Floyd,211,99,112,COVID,1043,Shopping,1579,809,770,COVID,1125,Shopping,2919,1229,1690,Covid,959,COVID-19,1878,756,1122
New,100,Schools,384,182,202,Covid,445,NRL,1115,585,530,Police,54,Coronavirus,214,99,115,Coronavirus,337,Coronavirus,1692,569,1123,NSW,1065,Vaccine,3494,1842,1652,NSW,629,Sports,1425,591,834
Sydney,79,NSW,370,236,134,Covid19,299,Australian Government,903,369,534,Big,54,Police,257,127,130,NSW,304,AFL,1939,624,1315,Sydney,607,Coronavirus,2694,1428,1266,Sydney,425,Health,1384,761,623
NSW,68,Coronavirus,429,201,228,Australia,246,AFL,1097,517,580,NSW,50,Death,222,135,87,AFL,278,Death,1719,624,1095,Man,470,Royal Family,2930,1082,1848,Lockdown,359,Death,114,525,589
Australian,55,Bushfire,304,154,150,NSW,195,Ruby Princess,1043,438,605,AFL,46,Protests,266,114,152,Sydney,267,Travel,1635,631,1004,Australia,440,Crime,2906,1577,1029,Cases,326,NSW,1225,682,543
