Word1,WordFrequency1,Topic1,TopicFrequency1,Word2,WordFrequency2,Topic2,TopicFrequency2,Word3,WordFrequency3,Topic3,TopicFrequency3,Word4,WordFrequency4,Topic4,TopicFrequency4,Word5,WordFrequency5,Topic5,TopicFrequency5,Word6,WordFrequency6,Topic6,TopicFrequency6
Coronavirus,366,Death,323,Coronavirus,1335,COVID-19,1382,COVID,83,George Floyd,211,COVID,1043,Shopping,1579,COVID,1125,Shopping,2919,Covid,959,COVID-19,1878
New,100,Schools,384,Covid,445,NRL,1115,Police,54,Coronavirus,214,Coronavirus,337,Coronavirus,1692,NSW,1065,Vaccine,3494,NSW,629,Sports,1425
Sydney,79,NSW,370,Covid19,299,Australian Government,903,Big,54,Police,257,NSW,304,AFL,1939,Sydney,607,Coronavirus,2694,Sydney,425,Health,1384
NSW,68,Coronavirus,429,Australia,246,AFL,1097,NSW,50,Death,222,AFL,278,Death,1719,Man,470,Royal Family,2930,Lockdown,359,Death,114
Australian,55,Bushfire,304,NSW,195,Ruby Princess,1043,AFL,46,Protests,266,Sydney,267,Travel,1635,Australia,440,Crime,2906,Cases,326,NSW,1225
