Word1,WordFrequency1,Topic1,TopicFrequency1,Negative1,Positive1,Word2,WordFrequency2,Topic2,TopicFrequency2,Negative2,Positive2,Word3,WordFrequency3,Topic3,TopicFrequency3,Negative3,Positive3,Word4,WordFrequency4,Topic4,TopicFrequency4,Negative4,Positive4,Word5,WordFrequency5,Topic5,TopicFrequency5,Negative5,Positive5,Word6,WordFrequency6,Topic6,TopicFrequency6,Negative6,Positive6
Coronavirus,140,Bushfires,225,91,134,Coronavirus,353,NSW,618,221,397,COVID-19,38,Coronavirus,105,49,56,COVID-19,287,Government,761,356,405,Vaccine,473,US Politics,1937,648,1289,NSW,393,COVID-19,1121,296,825
Govt,67,Climate Change,172,58,114,COVID-19,270,Schools,479,191,288,Australia,34,China,99,47,52,Trump,283,Budget,947,510,437,Australia,466,NSW Politics,1548,510,1038,COVID-19,352,Restrictions,926,303,623
Australia,45,Coronavirus,228,106,122,Australia,155,Coronavirus,433,145,288,Protests,28,Black Lives Matter,105,55,50,Andrews,237,Restrictions,689,191,498,COVID-19,412,Lockdown,1790,526,1264,Lockdown,316,Victoria Politics,892,322,570
Trump,39,Australian Politics,197,75,122,Govt,107,Australian Government,379,110,269,Govt,27,Australian Government,98,42,56,Australia,138,COVID-19,721,238,483,Government,386,Royal Family,1394,466,928,Cases,296,Royal Family,1006,341,665
PM,31,US Politics,237,103,134,China,107,China,479,149,326,Police,25,Schools,97,34,63,Biden,137,Black Lives Matter,795,375,421,Biden,381,Dan Andrews,1677,567,1110,COVID,277,Vaccine,783,302,481
