Word1,WordFrequency1,Topic1,TopicFrequency1,Word2,WordFrequency2,Topic2,TopicFrequency2,Word3,WordFrequency3,Topic3,TopicFrequency3,Word4,WordFrequency4,Topic4,TopicFrequency4,Word5,WordFrequency5,Topic5,TopicFrequency5,Word6,WordFrequency6,Topic6,TopicFrequency6
Coronavirus,140,Bushfires,225,Coronavirus,353,NSW,618,COVID-19,38,Coronavirus,105,COVID-19,287,Government,761,Vaccine,473,US Politics,1937,NSW,393,COVID-19,1121
Govt,67,Climate Change,172,COVID-19,270,Schools,479,Australia,34,China,99,Trump,283,Budget,947,Australia,466,NSW Politics,1548,COVID-19,352,Restrictions,926
Australia,45,Coronavirus,228,Australia,155,Coronavirus,433,Protests,28,Black Lives Matter,105,Andrews,237,Restrictions,689,COVID-19,412,Lockdown,1790,Lockdown,316,Victoria Politics,892
Trump,39,Australian Politics,197,Govt,107,Australian Government,379,Govt,27,Australian Government,98,Australia,138,COVID-19,721,Government,386,Royal Family,1394,Cases,296,Royal Family,1006
PM,31,US Politics,237,China,107,China,479,Police,25,Schools,97,Biden,137,Black Lives Matter,795,Biden,381,Dan Andrews,1677,COVID,277,Vaccine,783
