Word1,WordFrequency1,Topic1,TopicFrequency1,Negative1,Positive1,Word2,WordFrequency2,Topic2,TopicFrequency2,Negative2,Positive2,Word3,WordFrequency3,Topic3,TopicFrequency3,Negative3,Positive3,Word4,WordFrequency4,Topic4,TopicFrequency4,Negative4,Positive4,Word5,WordFrequency5,Topic5,TopicFrequency5,Negative5,Positive5,Word6,WordFrequency6,Topic6,TopicFrequency6,Negative6,Positive6
Coronavirus,246,Harvey Weinstein,799,344,455,Coronavirus,739,TV ,1995,747,1248,Star,69,Royal Family,310,127,183,Star,521,Murder,2934,1539,1359,New,951,Death,4238,1879,2359,COVID-19,404,Olympics,2248,866,1382
Aussie,207,Holidays,838,376,462,COVID-19,472,Police,1717,625,1092,New,69,Black Lives Matter,313,144,169,New,511,TV,2731,1345,1386,Star,844,TV,4065,1301,2764,Star,375,Lockdown,2488,877,1611
Star,170,Melbourne,751,313,438,Aussie,407,Coronavirus,1835,686,1149,Aussie,67,Coronavirus,312,102,210,Aussie,375,Coronavirus,2392,1118,1274,Aussie,699,Royal Family,3973,1370,2603,Sydney,372,Royal Family,1898,676,1222
MAFS,133,MAFS,827,288,539,New,356,Lockdown,1755,697,1058,Man,41,NRL,291,121,170,COVID-19,362,Royal Family,2167,826,1331,Man,522,Lockdown,4728,2156,2572,Aussie,331,Coronavirus,2434,842,1592
Man,101,Coronavirus,788,321,467,Star,343,Murder,1754,784,970,Home,39,Queensland,293,121,172,Sydney,263,NRL,2338,1023,1315,Sydney,493,Weddings,4223,1698,2525,Lockdown,301,TV,2103,736,1367
