Word1,WordFrequency1,Topic1,TopicFrequency1,Word2,WordFrequency2,Topic2,TopicFrequency2,Word3,WordFrequency3,Topic3,TopicFrequency3,Word4,WordFrequency4,Topic4,TopicFrequency4,Word5,WordFrequency5,Topic5,TopicFrequency5,Word6,WordFrequency6,Topic6,TopicFrequency6
Coronavirus,246,Harvey Weinstein,799,Coronavirus,739,TV ,1995,Star,69,Royal Family,310,Star,521,Murder,2934,New,951,Death,4238,COVID-19,404,Olympics,2248
Aussie,207,Holidays,838,COVID-19,472,Police,1717,New,69,Black Lives Matter,313,New,511,TV,2731,Star,844,TV,4065,Star,375,Lockdown,2488
Star,170,Melbourne,751,Aussie,407,Coronavirus,1835,Aussie,67,Coronavirus,312,Aussie,375,Coronavirus,2392,Aussie,699,Royal Family,3973,Sydney,372,Royal Family,1898
MAFS,133,MAFS,827,New,356,Lockdown,1755,Man,41,NRL,291,COVID-19,362,Royal Family,2167,Man,522,Lockdown,4728,Aussie,331,Coronavirus,2434
Man,101,Coronavirus,788,Star,343,Murder,1754,Home,39,Queensland,293,Sydney,263,NRL,2338,Sydney,493,Weddings,4223,Lockdown,301,TV,2103
