Word1,WordFrequency1,Topic1,TopicFrequency1,Word2,WordFrequency2,Topic2,TopicFrequency2,Word3,WordFrequency3,Topic3,TopicFrequency3,Word4,WordFrequency4,Topic4,TopicFrequency4,Word5,WordFrequency5,Topic5,TopicFrequency5,Word6,WordFrequency6,Topic6,TopicFrequency6
Coronavirus,48,Coronavirus,98,Coronavirus,417,New Zealand,145,Australia,22,International Relations,37,COVID-19,132,Coronavirus,466,Covid,226,Climate Change,610,Covid,170,Taliban,287
Australia,32,Children,95,Australia,69,Australia,284,Coronavirus,19,Police,51,Coronavirus,112,Indigenous Australians,298,Australia,188,Vaccine,611,Australia,108,Vaccine,293
Help,21,Economics,78,Pandemic,63,Coronavirus,161,Grattan,9,Black Lives Matter,42,Australia,94,Scott Morrison,337,Vaccine,147,Scott Morrison,523,Vaccine,70,Climate Change,375
Grattan,17,Bushfire,93,COVID-19,62,History,262,Indigenous,9,Coronavirus,58,Government,72,University,307,Climate,112,Australian Government,580,Grattan,66,Coronavirus,358
Friday,16,Other,89,Lockdown,46,Kids,245,Government,7,Business,23,Grattan,55,Election,318,Australia,103,Other,516,Climate,62,New Zealand,354
