Word1,WordFrequency1,Topic1,TopicFrequency1,Negative1,Positive1,Word2,WordFrequency2,Topic2,TopicFrequency2,Negative2,Positive2,Word3,WordFrequency3,Topic3,TopicFrequency3,Negative3,Positive3,Word4,WordFrequency4,Topic4,TopicFrequency4,Negative4,Positive4,Word5,WordFrequency5,Topic5,TopicFrequency5,Negative5,Positive5,Word6,WordFrequency6,Topic6,TopicFrequency6,Negative6,Positive6
Coronavirus,48,Coronavirus,98,36,62,Coronavirus,417,New Zealand,145,60,85,Australia,22,International Relations,37,9,28,COVID-19,132,Coronavirus,466,87,379,Covid,226,Climate Change,610,203,407,Covid,170,Taliban,287,94,193
Australia,32,Children,95,29,66,Australia,69,Australia,284,93,191,Coronavirus,19,Police,51,11,40,Coronavirus,112,Indigenous Australians,298,120,178,Australia,188,Vaccine,611,227,384,Australia,108,Vaccine,293,105,188
Help,21,Economics,78,18,60,Pandemic,63,Coronavirus,161,54,107,Grattan,9,Black Lives Matter,42,13,29,Australia,94,Scott Morrison,337,103,234,Vaccine,147,Scott Morrison,523,161,362,Vaccine,70,Climate Change,375,125,250
Grattan,17,Bushfire,93,35,58,COVID-19,62,History,262,86,176,Indigenous,9,Coronavirus,58,28,30,Government,72,University,307,111,196,Climate,112,Australian Government,580,216,364,Grattan,66,Coronavirus,358,108,250
Friday,16,Other,89,31,58,Lockdown,46,Kids,245,93,152,Government,7,Business,23,7,16,Grattan,55,Election,318,110,208,Australia,103,Other,516,163,353,Climate,62,New Zealand,354,116,238
